TEAM,GP,W,L,MIN,"%FGA
2PT","%FGA
3PT","%PTS
2PT","%PTS
2PT- MR","%PTS
3PT","%PTS
FBPS","%PTS
FT","%PTS
OFFTO","%PTS
PITP","2FGM
%AST","2FGM
%UAST","3FGM
%AST","3FGM
%UAST","FGM
%AST","FGM
%UAST"
Atlanta Hawks,82,43,39,48.1,61,39,50.2,10.1,33.9,8.5,15.9,13.7,40.1,52.9,47.1,73.5,26.5,59.3,40.7
Boston Celtics,82,51,31,48.5,57.5,42.5,49.2,7.6,35.5,9.9,15.2,14.6,41.6,51.2,48.8,81.3,18.7,60.9,39.1
Brooklyn Nets,82,44,38,48.2,64.1,35.9,54.1,13.4,30.5,12.2,15.5,13.9,40.7,54.1,45.9,76.4,23.6,60.2,39.8
Charlotte Hornets,82,43,39,48.5,58.2,41.8,50,5.5,36.3,14.1,13.7,16.1,44.6,55.9,44.1,85.7,14.3,65.6,34.4
Chicago Bulls,82,46,36,48.1,66.8,33.2,55.7,14.7,28.6,11.4,15.7,14.7,41,47.6,52.4,85.2,14.8,57.2,42.8
Cleveland Cavaliers,82,44,38,48.1,61.3,38.7,52.1,7.2,32.3,10.4,15.6,14.7,44.9,55.6,44.4,82.2,17.8,63.4,36.6
Dallas Mavericks,82,52,30,48.2,56.1,43.9,48.5,8.8,36.3,9.3,15.1,13.8,39.7,50.2,49.8,78.3,21.7,59.5,40.5
Denver Nuggets,82,48,34,48.3,58.4,41.6,51.4,7.7,33.7,12,14.8,13.8,43.7,58.4,41.6,85.7,14.3,66.7,33.3
Detroit Pistons,82,23,59,48.2,60.9,39.1,51.3,7.8,32.3,10,16.4,16.2,43.5,49.8,50.2,89.3,10.7,61.5,38.5
Golden State Warriors,82,53,29,48.1,54.4,45.6,47.2,6.9,38.8,12.4,14.1,15.9,40.2,59.5,40.5,80.4,19.6,66.9,33.1
Houston Rockets,82,20,62,48.2,55.2,44.8,47.2,2.7,36.8,11.1,15.9,14.7,44.5,50.2,49.8,78.4,21.6,59.8,40.2
Indiana Pacers,82,25,57,48.5,60.5,39.5,52.5,7.9,32.7,11.9,14.7,13,44.6,51,49,86,14,61.2,38.8
LA Clippers,82,42,40,48.2,60.9,39.1,50.3,10.3,35.3,10.9,14.3,14.2,40.1,50.3,49.7,80.5,19.5,59.9,40.1
Los Angeles Lakers,82,33,49,48.7,61.2,38.8,52.9,9,32,13.2,15,14.4,43.9,47.6,52.4,82.5,17.5,57.6,42.4
Memphis Grizzlies,82,56,26,48.2,65.4,34.6,55.4,5.6,29.9,15.3,14.7,15.8,49.8,50.4,49.6,85.4,14.6,59.7,40.3
Miami Heat,82,53,29,48.4,57.8,42.2,47.3,8.2,37,9.9,15.7,15.7,39.1,53.7,46.3,84.9,15.1,64.4,35.6
Milwaukee Bucks,82,51,31,48.2,57,43,48.1,9.1,36.5,11.4,15.4,13,38.9,46.1,53.9,78.9,21.1,57.2,42.8
Minnesota Timberwolves,82,46,36,48.2,54.6,45.4,46.3,5.2,38.2,13.1,15.5,17.1,41.1,51.9,48.1,79.7,20.3,61.7,38.3
New Orleans Pelicans,82,36,46,48.2,63.5,36.5,54,9.8,29.2,13.1,16.7,15.2,44.3,53.1,46.9,87.3,12.7,62.1,37.9
New York Knicks,82,37,45,48.2,57.2,42.8,46,6.9,37.2,10,16.9,14.7,39,46.5,53.5,79.5,20.5,58.1,41.9
Oklahoma City Thunder,82,24,58,48.3,58.1,41.9,50.6,5.4,35,10.3,14.5,14.4,45.2,46.6,53.4,82.8,17.2,58,42
Orlando Magic,82,22,60,48.2,58.3,41.7,50.1,6.5,35.1,10.4,14.9,13.6,43.6,49.9,50.1,88,12,62,38
Philadelphia 76ers,82,51,31,48.3,62.4,37.6,50.6,9.7,31.6,11.1,17.8,14.3,40.9,50.5,49.5,83.5,16.5,60.2,39.8
Phoenix Suns,82,64,18,48.1,64.6,35.4,55.9,12.5,30.3,10.9,13.8,15.7,43.3,55.2,44.8,83.2,16.8,62.7,37.3
Portland Trail Blazers,82,27,55,48.1,57.8,42.2,48.6,7.4,35.9,11.7,15.5,15.6,41.3,50,50,78.7,21.3,59.5,40.5
Sacramento Kings,82,30,52,48.3,62.3,37.7,52.7,8.3,31.1,10.6,16.2,14.7,44.4,49.8,50.2,80.7,19.3,58.5,41.5
San Antonio Spurs,82,34,48,48.3,65.5,34.5,56.5,9.4,29.9,12,13.6,14.6,47.1,55.1,44.9,91.2,8.8,64.6,35.4
Toronto Raptors,82,48,34,48.4,62.5,37.5,52.5,9.4,32.7,14.5,14.8,17.3,43.1,43.4,56.6,80.4,19.6,54.3,45.7
Utah Jazz,82,49,33,48.1,53.2,46.8,45.8,3.7,38.4,8.9,15.8,13,42.1,45.4,54.6,72.7,27.3,55.2,44.8
Washington Wizards,82,35,47,48.4,64.4,35.6,55.4,10.2,29,9,15.6,12.9,45.2,53.2,46.8,86,14,61.7,38.3
